Bird_flights_eyesRF_estim_20210408173701.mat
Birds_flights_indiv_labels_all_trials_20210327175421.mat
Bird_flights_geometry_20210403174659.mat
date_bird_HP,flag_if_all_trials_w_TO_L_frames_defined_in_csv,quat_headRF_to_eyesRF_W,quat_headRF_to_eyesRF_X,quat_headRF_to_eyesRF_Y,quat_headRF_to_eyesRF_Z
201124_Drogon_HPold,1,0.985184878615895,-0.1567353090883,-0.00657286541604689,0.0692935442288877
201124_Toothless_HPlmax30,1,0.986848855236642,-0.157478800626208,-0.00490102430044077,-0.0361350831224452
201124_Charmander_HPlmax45,1,0.9931010132137,-0.117069797570283,-0.00603094894004832,0.00294409674740291
201124_Ruby_HPlmax55,1,0.990261361894332,-0.113473498503336,0.00129354846409133,0.0806506479141208
201125_Drogon_HPlmax30,0,0.989249604430481,-0.126555210708173,-0.0230863458388263,0.0695414941783491
201125_Toothless_HPlmax45,0,0.973006387956226,-0.127621867299414,0.0523522906251086,-0.185014771436479
201125_Charmander_HPlmax55,0,0.989091994108922,-0.132737332724893,0.0160699211856273,0.0618027938187672
201125_Ruby_HPold,0,0.972614582860391,-0.195672560440183,0.010692587314897,0.124975161030521
201126_Drogon_HPlmax45,0,0.983498300403054,-0.108576612404719,0.00116709875554253,0.144709537431067
201126_Toothless_HPlmax55,0,0.989079315388515,-0.14422076699793,-0.00729903946157723,0.0294822363475643
201126_Charmander_HPold,0,0.990139327929307,0.0880478623205224,0.018473879215951,0.107379704857111
201126_Ruby_HPlmax30,0,0.982518453272289,-0.148629211618282,0.00831294139387578,0.111793297824774
201127_Drogon_HPlmax55,0,0.986777876222766,-0.151387681003329,0.0577970628905741,-0.00326994785041444
201127_Toothless_HPold,0,0.979091575184293,-0.154358043255453,-0.00906722017312149,-0.132178165382263
201127_Charmander_HPlmax30,0,0.989582623744088,-0.138229338959596,0.0022336309730737,-0.0401732688144181
201127_Ruby_HPlmax45,0,0.987530200672833,-0.133368700329886,0.00464380349753845,0.0835184268318546
