Birds_flights_indiv_labels_all_trials_20210327175421.mat
frame,frames_from_the_start,transform_t_interp_X,transform_t_interp_Y,transform_t_interp_Z,transform_q_interp_W,transform_q_interp_X,transform_q_interp_Y,transform_q_interp_Z
427,0,1000.57514273209,756.893462444179,1558.84549338964,0.836725171383851,0.165706198934979,0.10139849414818,0.512006629441131
428,1,1000.84440890688,756.755828336195,1558.72082743518,0.836733528668172,0.165721957440783,0.101403223442823,0.511986934501174
429,2,1001.11358420186,756.618211379789,1558.59617510855,0.836763336671721,0.165772401617739,0.101417046529762,0.511919145898133
430,3,1001.38252509676,756.480641998448,1558.47156826798,0.836823365205851,0.16586313113977,0.101439130165703,0.511787240995017
431,4,1001.65103349214,756.343167207572,1558.34705941415,0.836919596554018,0.16600188997764,0.101470925640331,0.511578549860532
432,5,1001.91886532542,756.205850351511,1558.22271329134,0.83705366513332,0.166199525835507,0.101517324143123,0.51128574417614
433,6,1002.18574315017,756.068770692626,1558.09860139158,0.837225373419044,0.166463230691862,0.10158200767829,0.51090582561468
434,7,1002.45138308105,755.932010840503,1557.97479644403,0.837435278172902,0.166795465720341,0.101665774741814,0.51043657562204
435,8,1002.71550123276,755.795653404727,1557.85137117786,0.837684363892822,0.16719805223214,0.101768829616701,0.509875301556865
436,9,1002.97781371997,755.659780994883,1557.72839832224,0.837973829449614,0.167673236630083,0.101891424976144,0.509218699962867
437,10,1003.23803665734,755.524476220558,1557.60595060634,0.83830510291851,0.16822372157202,0.102033860044777,0.508462806236217
438,11,1003.49588615956,755.389821691336,1557.48410075932,0.838679859661298,0.16885270431627,0.102196478059729,0.507602932532679
439,12,1003.7510783413,755.255900016803,1557.36292151034,0.839100044078156,0.169563923243711,0.102379662741788,0.506633592075293
440,13,1004.00332931725,755.122793806545,1557.24248558859,0.839567895549081,0.170361713793517,0.102583833386637,0.505548407538117
441,14,1004.25235520206,754.990585670147,1557.12286572321,0.840085979197546,0.171251075352638,0.102809438060551,0.504340000586845
442,15,1004.49787211043,754.859358217194,1557.00413464338,0.840657222252258,0.17223775099718,0.103056944205437,0.502999858904144
443,16,1004.73959615703,754.729194057272,1556.88636507826,0.841284956952341,0.173328322423303,0.103326825716359,0.501518176080391
444,17,1004.97724345653,754.600175799967,1556.76962975703,0.841972971145025,0.174530322960098,0.103619545231596,0.499883658539324
445,18,1005.21053012361,754.472386054864,1556.65400140884,0.842725567976749,0.175852372232792,0.103935529922472,0.498083292108961
446,19,1005.43917227295,754.345907431548,1556.53955276287,0.84354763638521,0.17730433688987,0.104275138445904,0.496102058825658
447,20,1005.66288601922,754.220822539605,1556.42635654828,0.844444734471528,0.178897522870985,0.104638615858175,0.493922591916204
448,21,1005.8813874771,754.097213988621,1556.31448549424,0.845423188287714,0.180644906011648,0.105026032067989,0.491524753420957
449,22,1006.09439276126,753.975164388181,1556.2040123299,0.84649020913038,0.182561409445891,0.105437197688317,0.488885114286751
450,23,1006.30161798638,753.85475634787,1556.09500978445,0.847654033097957,0.184664238337437,0.105871548693434,0.485976310563875
451,24,1006.50277926714,753.736072477274,1555.98755058705,0.848924087466443,0.186973285051131,0.106327987764144,0.482766240963972
452,25,1006.69759271822,753.619195385978,1555.88170746686,0.850311189369352,0.189511621057769,0.106804665095096,0.479217059620438
453,26,1006.88577445428,753.504207683568,1555.77755315305,0.85182778331328,0.192306095722665,0.107298673960004,0.475283902199426
454,27,1007.06704059001,753.39119197963,1555.67516037478,0.853486269822403,0.195387704461905,0.10780647364379,0.470916761657768
455,28,1007.24111327776,753.280231162124,1555.57459936648,0.85529119526933,0.198788946711556,0.108326196647517,0.466074415817854
456,29,1007.4077449253,753.171409558258,1555.4759298721,0.857239209027996,0.202536003447156,0.108854251648443,0.460728616118824
457,30,1007.56672429444,753.06481341348,1555.37920705522,0.859326931854697,0.20664709685055,0.109380700921618,0.454851694311813
458,31,1007.71787547705,752.960530887923,1555.28448577963,0.861552634200875,0.211137328845753,0.109890269839128,0.44841076644534
459,32,1007.86105628037,752.8586517122,1555.19182322719,0.863916427849753,0.216019647154464,0.110362252631951,0.441366164231679
460,33,1007.99615614039,752.759267310266,1555.10128182465,0.866420357687128,0.221304333724112,0.110769776146286,0.433670626573598
461,34,1008.12309376759,752.662471442038,1555.01293221194,0.869068112207942,0.227000757937871,0.111079972795433,0.425267576806322
462,35,1008.2418144927,752.568361037171,1554.92685423492,0.871863587190946,0.233125874244471,0.111256608869247,0.416086744647318
463,36,1008.35228694761,752.477036896228,1554.84313252065,0.87481021856665,0.239707045427037,0.111259325400549,0.406040609268858
464,37,1008.45450023708,752.388605172137,1554.76185680816,0.877912351471004,0.246774302585099,0.111037801582541,0.395022725090604
465,38,1008.54846160002,752.303179253872,1554.68312579569,0.881177687620493,0.254349103186965,0.110524489745976,0.382905672084104
466,39,1008.63419506653,752.220882217429,1554.60705633997,0.884619015431985,0.262441245552344,0.109630068116486,0.369533541554559
467,40,1008.71174020679,752.141847882388,1554.53378711378,0.88825446904002,0.271054179720965,0.108240421900222,0.354707824770034
468,41,1008.78115132657,752.066221410426,1554.46348066511,0.892108585520688,0.280183107755427,0.106208719755055,0.338170675276229
469,42,1008.84249711704,751.99415968773,1554.39632550058,0.896213777742677,0.289808735566744,0.103342930863132,0.319580975675998
470,43,1008.89586050731,751.925831706986,1554.3325382184,0.900611624204216,0.299886674935295,0.0993873829428743,0.298477524541234
471,44,1008.94133850476,751.861418911884,1554.27236554913,0.905353283119029,0.310327643177943,0.0939946616487977,0.274221060837321
472,45,1008.97904193241,751.801115427949,1554.21608629156,0.910496545984207,0.320958001416674,0.0866828195660382,0.245902602404944
473,46,1009.00909518947,751.745128243336,1554.16401304712,0.91609350063342,0.331438069072012,0.0767718377381775,0.212197053224888
474,47,1009.03163604516,751.693677478113,1554.11649391129,0.922154364709915,0.341086932399571,0.0632966663862694,0.171127333343009
475,48,1009.04681546479,751.64699650415,1554.07391420545,0.928549709674493,0.348497287354649,0.044923285110806,0.119695345877437
476,49,1009.05479732216,751.605332221254,1554.03669847365,0.934757122127063,0.350684082832837,0.020024006753601,0.0533744867324679
477,50,1009.05575800875,751.568945611322,1554.00531244164,0.939247756503827,0.341298200482272,-0.0124513486484614,-0.0342659330374107
478,51,1009.04988612458,751.538112516265,1553.98026495847,0.938200050029111,0.307748345383887,-0.0493515260742551,-0.150452812911544
479,52,1009.03738213935,751.513124504451,1553.96210986758,0.923487060136383,0.231268749330091,-0.0743559998816508,-0.296913456457528
480,53,1009.0184581561,751.494289718994,1553.95144765896,0.881871838565821,0.106143673374598,-0.054896321819791,-0.456094260869114
481,54,1008.99333782166,751.481933618854,1553.94892700879,0.806838678403998,-0.0259424513718756,0.0189670837349234,-0.589897097791385
482,55,1008.96225615205,751.476399490193,1553.95524442293,0.71798634834392,-0.114306926617319,0.107951701348973,-0.67806781393525
483,56,1008.92545900627,751.478048611923,1553.97113863684,0.637917634837292,-0.158121737582573,0.181332537238398,-0.731558007410314
