Bird_flights_geometry_20210403174659.mat
ini_perch_xmax_edge_centroid_XYZ,1293.78450280079,877.066430894234,1348.13023830855
ini_perch_xmin_edge_centroid_XYZ,701.097177756601,854.954205638554,1346.38601154573
end_perch_xmax_edge_centroid_XYZ,597.532212125534,-8235.92035186615,1338.07125903632
end_perch_xmin_edge_centroid_XYZ,2.54426002389673,-8255.74408716108,1335.86653967294
high_obs_1_sorted_centroid_XYZ,682.411773300964,-6708.56115866467,2015.65182590286
high_obs_2_sorted_centroid_XYZ,392.604577374475,-6715.84672350761,2016.78224047835
high_obs_3_sorted_centroid_XYZ,95.3677241826999,-6773.68544789907,2015.77683690019
high_obs_4_sorted_centroid_XYZ,-206.835237097261,-6794.28960712139,2013.67375186278
wall_xmax_vertex_1,2638.1386959916,2704.51166758514,0
wall_xmax_vertex_2,3150.017037578,-9364.28608202659,0
wall_xmax_vertex_3,3150.017037578,-9364.28608202659,3250.49216248625
wall_xmax_vertex_4,2638.1386959916,2704.51166758514,3250.49216248625
wall_xmin_vertex_1,-2216.7542240029,-9582.5004257791,0
wall_xmin_vertex_2,-2670.10098014017,2439.68976382768,0
wall_xmin_vertex_3,-2670.10098014017,2439.68976382768,3250.49216248625
wall_xmin_vertex_4,-2216.7542240029,-9582.5004257791,3250.49216248625
wall_ymax_vertex_1,-2670.10098014017,2439.68976382768,0
wall_ymax_vertex_2,2638.1386959916,2704.51166758514,0
wall_ymax_vertex_3,2638.1386959916,2704.51166758514,3250.49216248625
wall_ymax_vertex_4,-2670.10098014017,2439.68976382768,3250.49216248625
wall_ymin_vertex_1,3150.017037578,-9364.28608202659,0
wall_ymin_vertex_2,-2216.7542240029,-9582.5004257791,0
wall_ymin_vertex_3,-2216.7542240029,-9582.5004257791,3250.49216248625
wall_ymin_vertex_4,3150.017037578,-9364.28608202659,3250.49216248625
floor_vertex_1,2638.1386959916,2704.51166758514,0
floor_vertex_2,3150.017037578,-9364.28608202659,0
floor_vertex_3,-2216.7542240029,-9582.5004257791,0
floor_vertex_4,-2670.10098014017,2439.68976382768,0
ceiling_vertex_1,2638.1386959916,2704.51166758514,3250.49216248625
ceiling_vertex_2,3150.017037578,-9364.28608202659,3250.49216248625
ceiling_vertex_3,-2216.7542240029,-9582.5004257791,3250.49216248625
ceiling_vertex_4,-2670.10098014017,2439.68976382768,3250.49216248625
