Birds_flights_indiv_labels_all_trials_20210327175421.mat
frame,frames_from_the_start,transform_t_X,transform_t_Y,transform_t_Z,transform_t_interp_X,transform_t_interp_Y,transform_t_interp_Z,transform_q_W,transform_q_X,transform_q_Y,transform_q_Z,transform_q_interp_W,transform_q_interp_X,transform_q_interp_Y,transform_q_interp_Z
427,0,NaN,NaN,NaN,1000.57514273209,756.893462444179,1558.84549338964,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
428,1,NaN,NaN,NaN,1000.84440890688,756.755828336195,1558.72082743518,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
429,2,NaN,NaN,NaN,1001.11358420186,756.618211379789,1558.59617510855,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
430,3,NaN,NaN,NaN,1001.38252509676,756.480641998448,1558.47156826798,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
431,4,NaN,NaN,NaN,1001.65103349214,756.343167207572,1558.34705941415,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
432,5,NaN,NaN,NaN,1001.91886532542,756.205850351511,1558.22271329134,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
433,6,NaN,NaN,NaN,1002.18574315017,756.068770692626,1558.09860139158,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
434,7,NaN,NaN,NaN,1002.45138308105,755.932010840503,1557.97479644403,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
435,8,NaN,NaN,NaN,1002.71550123276,755.795653404727,1557.85137117786,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
436,9,NaN,NaN,NaN,1002.97781371997,755.659780994883,1557.72839832224,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
437,10,NaN,NaN,NaN,1003.23803665734,755.524476220558,1557.60595060634,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
438,11,NaN,NaN,NaN,1003.49588615956,755.389821691336,1557.48410075932,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
439,12,NaN,NaN,NaN,1003.7510783413,755.255900016803,1557.36292151034,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
440,13,NaN,NaN,NaN,1004.00332931725,755.122793806545,1557.24248558859,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
441,14,NaN,NaN,NaN,1004.25235520206,754.990585670147,1557.12286572321,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
442,15,NaN,NaN,NaN,1004.49787211043,754.859358217194,1557.00413464338,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
443,16,NaN,NaN,NaN,1004.73959615703,754.729194057272,1556.88636507826,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
444,17,NaN,NaN,NaN,1004.97724345653,754.600175799967,1556.76962975703,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
445,18,NaN,NaN,NaN,1005.21053012361,754.472386054864,1556.65400140884,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
446,19,NaN,NaN,NaN,1005.43917227295,754.345907431548,1556.53955276287,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
447,20,NaN,NaN,NaN,1005.66288601922,754.220822539605,1556.42635654828,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
448,21,NaN,NaN,NaN,1005.8813874771,754.097213988621,1556.31448549424,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
449,22,NaN,NaN,NaN,1006.09439276126,753.975164388181,1556.2040123299,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
450,23,NaN,NaN,NaN,1006.30161798638,753.85475634787,1556.09500978445,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
451,24,NaN,NaN,NaN,1006.50277926714,753.736072477274,1555.98755058705,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
452,25,NaN,NaN,NaN,1006.69759271822,753.619195385978,1555.88170746686,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
453,26,NaN,NaN,NaN,1006.88577445428,753.504207683568,1555.77755315305,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
454,27,NaN,NaN,NaN,1007.06704059001,753.39119197963,1555.67516037478,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
455,28,NaN,NaN,NaN,1007.24111327776,753.280231162124,1555.57459936648,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
456,29,NaN,NaN,NaN,1007.4077449253,753.171409558258,1555.4759298721,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
457,30,NaN,NaN,NaN,1007.56672429444,753.06481341348,1555.37920705522,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
458,31,NaN,NaN,NaN,1007.71787547705,752.960530887923,1555.28448577963,NaN,NaN,NaN,NaN,0.986115764306545,0.157446282575019,0.0204751963771334,-0.0486531995118809
